Course,Slot,Student
A,F,B150242ME
A,F,B150567ME
A,F,B151054EE
A,F,B151055EE
A,F,B151056EE
A,F,B151057EP
A,F,B151058ME
A,F,B151059CE
A,A,B151060AR
A,A,B151061CE
A,A,B151062EE
A,A,B151063CE
A,A,B151064CE
A,A,B151065CS
A,A,B151066EP
A,A,B151067EC
A,A,B151068CH
A,A,B151069EE
M,G,B151070CE
M,G,B151071PE
M,G,B151072EE
M,G,B151073BT
M,G,B151074BT
M,G,B151075AR
M,G,B160001ME
M,G,B160002EE
M,G,B160003EC
M,G,B160004AR
ZZ,F,B160005EP
ZZ,F,B160006CE
ZZ,F,B160007EE
ZZ,F,B160008CS
ZZ,F,B160010CE
ZZ,F,B160012ME
ZZ,F,B160013ME
ZZ,F,B160014PE
ZZ,F,B160015ME
ZZ,F,B160018CE
ZZ,F,B160019EC
ZZ,F,B160020AR
ZZ,F,B160021CH
